Statute Name,Violation Date,latitude,longitude,counts
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/7,47.571422,-122.34976,130
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/8,47.57141,-122.347968,151
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/8,47.571422,-122.34976,171
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/9,47.57141,-122.347968,172
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/9,47.571422,-122.34976,159
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/1,47.57141,-122.347968,158
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/1,47.571422,-122.34976,151
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/10,47.57141,-122.347968,153
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/10,47.571422,-122.34976,189
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/11,47.57141,-122.347968,118
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/11,47.571422,-122.34976,167
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/12,47.57141,-122.347968,129
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/12,47.571422,-122.34976,143
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/13,47.57141,-122.347968,143
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/13,47.571422,-122.34976,175
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/14,47.57141,-122.347968,169
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/14,47.571422,-122.34976,153
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/15,47.57141,-122.347968,196
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/15,47.571422,-122.34976,185
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/16,47.57141,-122.347968,161
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/16,47.571422,-122.34976,183
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/17,47.57141,-122.347968,164
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/17,47.571422,-122.34976,182
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/18,47.57141,-122.347968,111
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/18,47.571422,-122.34976,114
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/19,47.57141,-122.347968,125
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/19,47.571422,-122.34976,123
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/2,47.57141,-122.347968,168
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/2,47.571422,-122.34976,196
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/20,47.57141,-122.347968,124
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/20,47.571422,-122.34976,138
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/21,47.57141,-122.347968,154
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/21,47.571422,-122.34976,167
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/22,47.57141,-122.347968,176
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/22,47.571422,-122.34976,166
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/23,47.57141,-122.347968,160
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/23,47.571422,-122.34976,168
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/24,47.57141,-122.347968,156
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/24,47.571422,-122.34976,172
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/25,47.57141,-122.347968,121
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/25,47.571422,-122.34976,130
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/26,47.57141,-122.347968,32
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/26,47.571422,-122.34976,43
